Player ID,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,34,7,18.1,3.1,5.4,0.568,0.6,1.9,0.317,2.5,3.5,0.7,0.623,0.9,1.5,0.62,2.0,3.3,5.2,1.5,0.6,1.2,1.2,2.4,7.6
2,35,3,15.4,2.2,5.1,0.433,1.9,4.7,0.398,0.3,0.4,0.857,0.617,0.3,0.5,0.625,0.0,1.0,1.0,0.1,0.2,0.1,0.2,0.7,6.6
3,10,1,3.7,0.7,2.3,0.304,0.5,2.1,0.238,0.2,0.2,1.0,0.413,0.3,0.4,0.75,0.0,0.2,0.2,0.0,0.1,0.0,0.1,0.1,2.2
4,35,35,24.3,3.5,7.0,0.504,0.9,2.4,0.365,2.7,4.6,0.578,0.567,1.6,2.1,0.77,1.2,3.4,4.6,2.4,1.1,0.1,1.8,2.0,9.6
5,35,28,18.1,2.5,4.1,0.593,0.0,0.0,,2.5,4.1,0.593,0.593,2.0,2.9,0.67,2.7,4.5,7.2,0.5,0.5,1.0,1.2,2.8,6.9
6,6,6,23.5,2.2,7.8,0.277,1.8,5.5,0.333,0.3,2.3,0.143,0.394,2.5,3.0,0.833,1.3,3.8,5.2,2.0,0.8,0.7,0.2,1.3,8.7
7,32,3,8.2,0.9,1.3,0.69,0.0,0.0,,0.9,1.3,0.69,0.69,0.1,0.4,0.308,1.0,1.5,2.5,0.4,0.1,0.1,0.4,1.7,1.9
8,35,34,30.2,4.8,11.0,0.439,1.1,3.5,0.301,3.8,7.5,0.504,0.487,3.3,4.1,0.803,1.0,3.9,4.9,3.4,1.7,0.5,1.8,2.1,14.0
9,34,22,18.7,2.2,5.6,0.4,1.6,4.7,0.35,0.6,0.9,0.667,0.547,0.1,0.2,0.833,0.6,1.3,1.9,1.1,0.6,0.0,0.5,1.4,6.3
10,34,1,24.4,3.2,7.1,0.45,1.4,3.8,0.375,1.8,3.4,0.535,0.55,1.6,2.0,0.783,0.7,2.8,3.5,2.7,0.8,0.4,1.0,1.3,9.4
11,35,0,16.0,2.6,5.7,0.46,1.3,3.2,0.398,1.3,2.5,0.54,0.573,0.9,1.1,0.816,0.5,1.3,1.9,1.7,1.0,0.0,1.2,2.0,7.4
12,35,35,24.7,4.9,10.8,0.459,1.6,4.2,0.39,3.3,6.6,0.502,0.534,1.5,1.6,0.912,0.1,1.8,1.9,3.8,0.8,0.3,2.1,1.7,13.0
13,37,0,21.1,3.9,8.4,0.465,2.4,5.7,0.412,1.6,2.7,0.574,0.604,1.2,1.6,0.776,0.2,1.7,1.9,1.9,0.6,0.0,1.2,1.7,11.4
14,36,0,8.8,1.3,2.4,0.511,0.4,1.2,0.333,0.9,1.3,0.674,0.591,0.5,1.1,0.463,1.1,1.8,2.8,0.4,0.2,0.2,0.4,1.3,3.4
15,28,18,25.3,3.4,7.7,0.447,2.1,5.4,0.388,1.3,2.3,0.587,0.584,1.3,1.6,0.804,0.9,1.4,2.3,0.9,0.7,0.3,1.1,2.2,10.3
16,37,37,19.2,3.1,4.2,0.734,0.0,0.0,0.0,3.1,4.1,0.739,0.734,1.8,2.5,0.725,1.9,4.6,6.5,0.9,0.4,1.1,0.8,2.6,7.9
17,24,3,14.0,2.1,4.6,0.45,0.4,1.6,0.263,1.7,3.0,0.548,0.495,1.4,2.4,0.579,0.9,1.9,2.8,0.7,0.3,0.2,0.8,1.2,6.0
18,37,34,25.4,4.2,8.0,0.522,0.6,2.5,0.258,3.5,5.5,0.644,0.563,2.5,3.7,0.667,1.7,5.9,7.6,1.6,0.5,1.2,1.8,2.6,11.5
19,6,0,7.8,1.2,2.0,0.583,0.8,1.7,0.5,0.3,0.3,1.0,0.792,0.0,0.0,,1.0,1.2,2.2,0.2,0.5,0.0,0.0,0.7,3.2
20,37,22,18.7,1.8,4.2,0.429,0.8,2.7,0.307,0.9,1.4,0.66,0.529,1.0,1.7,0.597,1.0,2.4,3.4,0.8,0.5,0.6,0.8,2.2,5.4
21,37,29,24.7,3.8,8.5,0.452,1.1,3.4,0.315,2.8,5.1,0.542,0.514,1.9,2.4,0.767,0.9,2.4,3.3,3.8,1.4,0.3,1.7,1.7,10.6
22,8,5,25.8,3.5,7.0,0.5,2.4,5.6,0.422,1.1,1.4,0.818,0.67,2.1,2.5,0.85,0.5,1.3,1.8,2.0,0.5,0.1,1.3,1.6,11.5
23,37,37,32.3,5.4,13.4,0.403,2.4,7.1,0.345,3.0,6.4,0.468,0.494,5.4,6.4,0.844,0.4,2.5,2.9,5.1,0.9,0.1,2.7,1.5,18.6
24,10,0,1.6,0.1,0.2,0.5,0.0,0.0,,0.1,0.2,0.5,0.5,0.0,0.0,,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.2
25,37,0,16.0,2.7,4.4,0.617,0.3,0.7,0.462,2.4,3.7,0.647,0.654,1.5,2.5,0.609,1.9,4.0,5.9,1.1,0.9,0.7,1.1,2.4,7.2
26,36,36,28.7,5.2,12.9,0.401,1.1,3.5,0.307,4.1,9.4,0.437,0.443,3.0,4.0,0.755,0.6,1.4,2.0,2.3,1.7,0.0,1.4,1.5,14.5
