Player,#,Class,Pos,Height,Weight,Hometown,High School,Team
Nate Johnson,34,SR,G,6-3,204.0,"Liberty Township, OH",Lakota East HS,Akron
Tavari Johnson,5,JR,G,5-11,155.0,"Chicago, IL",Lyons Township (IL),Akron
Isaiah Gray,13,SR,G,6-3,210.0,"Brooklyn, NY",Martin Luther King HS,Akron
Shammah Scott,1,SR,G,6-2,180.0,"Cleveland, OH",Shaker Heights (OH),Akron
Sharron Young,3,FR,G,6-0,160.0,"Morgantown, WV",Morgantown (WV),Akron
Amani Lyles,0,JR,F,6-7,226.0,"Columbus, OH",Beechcroft (OH),Akron
James Okonkwo,32,SR,F,6-8,230.0,"Maidenhead, United Kingdom",Furze Platt (England); Beckley Prep IJN (WV),Akron
Bowen Hardman,15,JR,G,6-3,175.0,"Cincinnati, OH",Princeton (OH),Akron
Seth Wilson,14,SR,G,6-1,215.0,"Lorain, OH",Lorain HS,Akron
Marvin Musiime-Kamali,23,SO,F,6-6,195.0,"Boston, MA",Thayer Academy (MA); Cushing Academy (MA),Akron
Josiah Harris,22,JR,F,6-7,200.0,"Canton, OH",Richmond Heights (OH),Akron
Evan Wilson,20,SR,G,6-2,200.0,"Noblesville, IN",Noblesville HS,Akron
Mark Sears,1,SR,G,6-1,185.0,"Muscle Shoals, AL",Hargrave Military Academy,Alabama
Grant Nelson,4,SR,F,6-10,215.0,"Devils Lake, ND",Devils Lake HS,Alabama
Aden Holloway,2,SO,G,6-1,178.0,"Charlotte, NC",Matthews Covenant Day School (NC); La Lumiere School (IN); Prolific Prep (CA),Alabama
Labaron Philon,0,FR,G,6-4,177.0,"Mobile, AL",Baker (AL); Link Academy (MO),Alabama
Clifford Omoruyi,11,SR,C,6-11,240.0,"Benin City, Nigeria",Roselle Catholic HS,Alabama
Chris Youngblood,8,SR,G,6-4,212.0,"Sharsburg, GA",East Coweta HS,Alabama
Mouhamed Dioubate,10,SO,F,6-7,215.0,"Queens, NY",Putnam Science Academy (CT),Alabama
Jarin Stevenson,15,SO,F,6-11,210.0,"Chapel Hill, NC",Seaforth (NC),Alabama
Derrion Reid,35,FR,F,6-8,220.0,"Grovetown, GA",Grovetown (GA); Prolific Prep (CA),Alabama
Aiden Sherrell,22,FR,F,6-10,240.0,"Detroit, MI",Wasatch Academy (UT); Prolific Prep (CA),Alabama
Latrell Wrightsell Jr.,3,SR,G,6-3,189.0,"Omaha, NE",Omaha Central HS,Alabama
Houston Mallette,95,SR,G,6-5,185.0,"Alameda, CA",Pacifica Christian HS,Alabama
